osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
7649461821,node,Deogiri Hospital,hospital,,,,,,,18.479672,73.956002,Hospital
7649461823,node,"Manipal Hospital, Pune",hospital,,,,,,,18.5409242,73.935679,Hospital
7649461825,node,Ayodhya Trust General Hospital,hospital,,,,,,,18.49253,73.9037686,Hospital
7651453308,node,Chordiya Nursing Home,hospital,,,,,,,18.4581135,73.8781846,Hospital
7651453309,node,Anup Hospital,hospital,,,,,,,18.498738,73.838315,Hospital
7651453312,node,Apex Superspeciality Hospital,hospital,,,,,,,18.5075984,73.8439447,Hospital
7651453318,node,Date Hospital,hospital,,,,,,,18.51024,73.8522294,Hospital
7651453320,node,Morya General Hospital,hospital,,,,,,,18.5147901,73.8484343,Hospital
7651453323,node,Suman Hospital,hospital,,,,,,,18.492348,73.853457,Hospital
7651453325,node,Lifeline Hospital,hospital,,,,,,,18.4723283,73.8923643,Hospital
7651453326,node,Sabane Hospital,hospital,,,,,,,18.5107027,73.8434338,Hospital
7651453329,node,Kamat Hospital,hospital,,,,,,,18.512445,73.869389,Hospital
7651453330,node,Bindu Madhav Thakarey Hospital,hospital,,,,,,,18.496127,73.817109,Hospital
7651453334,node,National Hospital,hospital,yes,,,,,,18.4714238,73.8887261,Hospital
7651453335,node,Meenatai Thakre Maternity Home,hospital,,,,,,,18.47396,73.889134,Hospital
7651453338,node,Bhagirathi Children's Hospital,hospital,,,,,,,18.4947224,73.8229041,Hospital
7651453339,node,Vishranti Hospital,hospital,,,,,,,18.5086317,73.8744506,Hospital
7651453340,node,Matru Seva Hospital;Pacharne Hospital,hospital,,,,,,,18.516314,73.871996,Hospital
7651453344,node,Shraddha Hospital,hospital,,,,,,,18.4909252,73.845933,Hospital
7651453349,node,Purohit Hospital,hospital,,,,,,,18.4975587,73.8513176,Hospital
7651453350,node,Prerna Hospital,hospital,,,,,,,18.4553105,73.8690108,Hospital
7651453353,node,Bapat Hospital,hospital,,,,,,,18.530365,73.842063,Hospital
7651453355,node,Shivneri Hospital,hospital,,,,,,,18.449571,73.85723,Hospital
7651453361,node,New Pune Hospital,hospital,,,,,,,18.470806,73.888399,Hospital
7651453365,node,Kothari Orthopaedic Hospital,hospital,,,,,,,18.4891725,73.8571698,Hospital
7651453367,node,Kalyani Hospital,hospital,,,,,,,18.5046645,73.8592129,Hospital
7651453368,node,Kumbhare Hospital,hospital,,,,,,,18.5218011,73.8622355,Hospital
7651453369,node,योगेश हॉस्पिटल,hospital,,,,,,,18.510438,73.847875,Hospital
7651453370,node,Gokhale Hospital,hospital,,,,,,,18.502188,73.857108,Hospital
7651453375,node,Sai Samarth Hospital,hospital,,,,,,,18.5231039,73.8681573,Hospital
7651453377,node,Dr. Baba Saheb Ambedkar Hospital;dr baba saheb ambedkar hospital,hospital,,,,,,,18.4962994,73.8702072,Hospital
7651453378,node,Todkar Hospital,hospital,,,,,,,18.5107128,73.8660862,Hospital
7651453379,node,Shaishav Children's Hospital,hospital,,,,,,,18.5137927,73.8476204,Hospital
7651453383,node,Suyash Hospital,hospital,,,,,,,18.5001862,73.8124022,Hospital
7651453384,node,Moraya Nursing Home,hospital,,,,,,,18.4472895,73.8662836,Hospital
7651453385,node,Swanand Maternity Hospital,hospital,,,,,,,18.5297435,73.8339823,Hospital
7651453386,node,City Hospital,hospital,,,,,,,18.5071504,73.7997343,Hospital
7651453389,node,Parasnis Hospital,hospital,,,,,,,18.474694,73.858715,Hospital
7651453390,node,Shintre Hospital,hospital,,,,,https://www.shintrehospital.in/,,18.5122403,73.8499324,Hospital
7651453392,node,Alliance Munot Hospital;munot hospital,hospital,,,,,,,18.5025447,73.8686993,Hospital
7651453393,node,Kalavati Mavale Hospital,hospital,,,,,,,18.5150421,73.8464127,Hospital
7651453397,node,Jeevandhara Multispeciality Hospital,hospital,,,,,,,18.4491259,73.8577679,Hospital
7651453399,node,ASG Eye Hospital,hospital,,,,,,,18.528932,73.8436351,Hospital
7651453401,node,Rode Hospital,hospital,,,,,,,18.5091812,73.8149589,Hospital
7651453402,node,Mantri Hospital,hospital,,,,,,,18.505204,73.834167,Hospital
7651453403,node,Kering Hospital;kering clinic,hospital,,,,,,,18.5029885,73.8682087,Hospital
7651453404,node,Siddhivinayak Hospital,hospital,,,,,,,18.4559009,73.8709944,Hospital
7651453409,node,Kirad Hospital,hospital,,,,,,,18.5143478,73.868913,Hospital
7651453412,node,Chajed Hospital,hospital,,,,,,,18.50451,73.8628189,Hospital
7651453413,node,KEM Hospital,hospital,,,,,,,18.5200596,73.8669776,Hospital
7651453415,node,Hope Hospital,hospital,,,,,,,18.5126915,73.869516,Hospital
7651453417,node,David Sassoon Hospital,hospital,,,,,,,18.525279,73.870499,Hospital
7651453418,node,MJM Hospital,hospital,,,,,,,18.5245059,73.8438216,Hospital
7651453422,node,Chavan Hospital,hospital,,,,,,,18.502202,73.8584592,Hospital
8204734780,node,dental health care,hospital,,,,,,dr. junid tamboli,18.5062183,73.8625941,Hospital
8257047090,node,ARCUS HOSPITAL,hospital,,,,02041295055,https://www.arcushospital.com,,18.4889132,73.8990842,Hospital
